Source	Target	Weights
CEPVR	RIAL	1
CEPVR	RIAR	1
CEPVR	vBWMR03	1
URYDL	AIZL	1
URYDL	AVEL	1
URYDR	AWCL	1
URYDR	URXR	1
URYDR	OLQDR	1
URYDR	AVBL	1
URYVL	RIS	1
URYVL	ADAL	1
URYVL	AVJR	1
URYVL	AVBR	1
URYVL	SIBVL	1
URYVL	CEPshVL	1
URYVR	CEPVR	1
URYVR	ADAR	1
URYVR	SMBDR	1
OLLL	URYVL	1
OLLR	IL2R	1
OLLR	OLQDR	1
OLLR	RMED	1
OLQDL	RMED	1
OLQDL	RMDDL	1
OLQDL	dBWML06	1
OLQDR	IL1DR	1
OLQDR	RMER	1
OLQVL	AVDR	1
OLQVL	AVAL	1
OLQVR	RMHR	1
IL1DL	IL2DL	1
IL1DL	RMEL	1
IL1DR	IL1DR	1
IL1L	IL2L	1
IL1L	OLLL	1
IL1L	RMGL	1
IL1R	OLLR	1
IL1VL	AVL	1
IL1VL	RMHL	1
IL1VR	OLLR	1
AINL	ASGR	1
AINL	AIAR	1
AINL	hyp	1
AINR	ASGL	1
AINR	ASEL	1
AINR	AINR	1
AIML	URXL	1
AIML	ALML	1
AIML	PVQL	1
AIML	AVHR	1
AIML	AVJL	1
AIML	AVDL	1
AIMR	CEPVR	1
AIMR	OLQDR	1
AIMR	AIMR	1
AIMR	PVNR	1
AIMR	AVJR	1
AIMR	AVAR	1
AIMR	RMDR	1
RIH	URAVR	1
URBL	URYDL	1
URBL	OLLL	1
URBL	URBL	1
URBL	PVR	1
URBR	ADER	1
URBR	OLLR	1
URBR	AVDL	1
URBR	RMDL	1
URBR	RMDR	1
URBR	SMBVR	1
RIR	AWBR	1
RIR	AFDR	1
RIR	ASHL	1
RIR	ASHR	1
RIR	AIMR	1
RIR	ADAR	1
RIR	PVPR	1
RIR	RMGL	1
RIR	RMGR	1
RIR	HSNL	1
AIYL	ASER	1
AIYL	RIH	1
AIYL	RIR	1
AIYL	HSNR	1
AIYR	AWBR	1
AIYR	AFDR	1
AIYR	BAGR	1
AIYR	AINL	1
AIYR	RIVR	1
AIAL	ASGL	1
AIAL	ASHL	1
AIAL	PVQL	1
AUAL	AIYL	1
AUAL	AIBR	1
AUAR	BAGL	1
AUAR	AINL	1
AUAR	AINR	1
AUAR	AIYR	1
AIZL	ADFL	1
AIZL	AFDL	1
AIZL	DVA	1
AIZL	VB02	1
